TIMESTAMP,MMSI,LON,LAT,X,Y,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1426301065000,555532553,24.282867,37.505817,5585423.46721709,1721664.208590144,274,23.5,0,0,30,-1,A
1426301307000,555532553,24.251017,37.511967,5582528.199661205,1721807.4380127012,288,22.9,0,0,30,-1,A
1426301551000,555532553,24.221733,37.52185,5579789.256951428,1722400.5518060331,296,22.1,0,0,30,-1,A
1426301815000,555532553,24.191534,37.534534,5576919.882725881,1723284.6779048543,295,22.1,0,0,30,-1,A
1426302056000,555532553,24.163883,37.5456,5574303.195619108,1724035.6192072856,295,22.0,0,0,30,-1,A
1426302316000,555532553,24.134117,37.55723,5571492.118134715,1724814.3673921737,295,22.1,0,0,30,-1,A
1426302599000,555532553,24.109684,37.5668,5569184.732733199,1725457.0348638073,295,22.3,0,0,30,-1,A
1426302847000,555532553,24.0719,37.581882,5565612.258551128,1726483.190212174,295,22.4,0,0,30,-1,A
1426303039000,555532553,24.049366,37.59107,5563478.687957493,1727117.1133456833,295,22.5,0,0,30,-1,A
1426303334000,555532553,24.014866,37.605267,5560210.559344383,1728103.1103909276,294,22.7,0,0,30,-1,A
1426303603000,555532553,23.983316,37.618233,5557222.990404966,1729004.3087598414,295,22.6,0,0,30,-1,A
1426303873000,555532553,23.951468,37.63165,5554202.0925563695,1729951.1294190215,294,22.7,0,0,30,-1,A
1426304173000,555532553,23.916416,37.64615,5550882.990011685,1730965.685610746,296,22.8,0,0,30,-1,A
1426304419000,555532553,23.887367,37.658916,5548119.667098347,1731889.3349189279,296,22.8,0,0,30,-1,A
1426304839000,555532553,23.838284,37.680016,5543460.56589298,1733401.2987456976,296,22.8,0,0,30,-1,A
1426305181000,555532553,23.798084,37.697334,5539645.48656493,1734645.9907471924,296,22.9,0,0,30,-1,A
1426305497000,555532553,23.760334,37.713215,5536070.884492218,1735775.190030574,296,23.0,0,0,30,-1,A
1426305741000,555532553,23.7352,37.7291,5533597.673843936,1737106.8396007789,321,22.9,0,0,30,-1,A
1426305987000,555532553,23.719067,37.751816,5531789.539605835,1739326.4138918698,331,22.7,0,0,30,-1,A
1426306305000,555532553,23.700184,37.781918,5529612.165481827,1742307.8921366043,331,22.9,0,0,30,-1,A
1426306563000,555532553,23.6849,37.806583,5527845.342223255,1744754.356160697,330,22.8,0,0,30,-1,A
1426306815000,555532553,23.669767,37.830467,5526106.195190001,1747118.5408556852,330,22.8,0,0,30,-1,A
1426307097000,555532553,23.652866,37.856934,5524168.38490439,1749736.858477026,329,22.9,0,0,30,-1,A
1426307343000,555532553,23.638268,37.880585,5522481.464190481,1752085.0073147535,330,23.0,0,0,30,-1,A
1426307593000,555532553,23.623783,37.904068,5520808.032827963,1754417.0397494985,329,21.5,0,0,30,-1,A
1426307851000,555532553,23.61365,37.9252,5519555.166573558,1756561.5028778438,339,18.3,0,0,30,-1,A
1426308035000,555532553,23.619017,37.937416,5519807.378192189,1757977.4590242805,73,15.2,0,0,30,-1,A
1426308289000,555532553,23.634983,37.94255,5521105.650680752,1758787.9571824824,30,10.6,0,0,30,-1,A
1426308548000,555532553,23.641016,37.94745,5521544.0412603,1759416.9585142191,182,0.7,0,0,30,-1,A
1426308734000,555532553,23.641283,37.947918,5521559.019420039,1759472.1737566944,185,0.0,0,0,30,-1,A
1426310044000,555532553,23.6413,37.94795,5521559.934301211,1759475.929402433,185,0.0,0,0,30,-1,A
1426311283000,555532553,23.641317,37.947933,5521561.711841925,1759474.3435698894,184,0.0,0,0,30,-1,A
1426312726000,555532553,23.6413,37.9479,5521560.814566317,1759470.478914153,184,0.0,0,0,30,-1,A
1426314166000,555532553,23.641384,37.9479,5521568.1188658755,1759471.7998598656,184,0.0,0,0,30,-1,A
1426315608000,555532553,23.641367,37.947933,5521566.059637162,1759475.1298468127,184,0.0,0,0,30,-1,A
1426317047000,555532553,23.641367,37.9479,5521566.640614906,1759471.532524961,184,0.0,0,0,30,-1,A
1426318485000,555532553,23.641317,37.947884,5521562.574502609,1759469.0020916043,184,0.0,0,0,30,-1,A
1426319925000,555532553,23.641367,37.9479,5521566.640614906,1759471.532524961,184,0.0,0,0,30,-1,A
1426321366000,555532553,23.64135,37.947933,5521564.5813868465,1759474.862512337,184,0.0,0,0,30,-1,A
1426322806000,555532553,23.641333,37.947983,5521562.222868845,1759480.045666355,184,0.0,0,0,30,-1,A
1426324249000,555532553,23.641367,37.947884,5521566.922300993,1759469.7883689532,184,0.0,0,0,30,-1,A
1426325685000,555532553,23.641367,37.9479,5521566.640614906,1759471.532524961,184,0.0,0,0,30,-1,A
1426327127000,555532553,23.641367,37.947933,5521566.059637162,1759475.1298468127,184,0.0,0,0,30,-1,A
1426328566000,555532553,23.6414,37.94795,5521568.629889313,1759477.5019569003,184,0.0,0,0,30,-1,A
1426330007000,555532553,23.641333,37.947968,5521562.486949193,1759478.4105198835,184,0.0,0,0,30,-1,A
1426331448000,555532553,23.64135,37.94795,5521564.2820955515,1759476.7156782334,184,0.0,0,0,30,-1,A
